Gene1,Gene2
MT-CO2,PARP15
MT-CO2,PBRM1
MT-CO2,PCM1
MT-CO2,PCNT
MT-CO2,PDAP1
MT-CO2,PDE4B
MT-CO2,PEA15
MT-CO2,PECR
MT-CO2,PER2
MT-CO2,PFDN5
MT-CO2,PIK3C2G
MT-CO2,PIK3R1
MT-CO2,PIM1
MT-CO2,PLCB1
MT-CO2,PLCL1
MT-CO2,PLPP3
MT-CO2,PLPP6
MT-CO2,PMP22
MT-CO2,PMS2
MT-CO2,PNISR
MT-CO2,POLR2A
MT-CO2,POLR2F
MT-CO2,PPIA
MT-CO2,PPIAL4A
MT-CO2,PRDX5
MT-CO2,PRKACA
MT-CO2,PRKCE
MT-CO2,PRPF38A
MT-CO2,PRPS1
MT-CO2,PSMB3
MT-CO2,PSMB4
MT-CO2,PTER
MT-CO2,PTMA
MT-CO2,PTP4A2
MT-CO2,PTPN12
MT-CO2,PTPN14
MT-CO2,PTPN4
MT-CO2,PTPRB
MT-CO2,PUM1
MT-CO2,PUM2
MT-CO2,PXDC1
MT-CO2,QKI
MT-CO2,RAI14
MT-CO2,RALGAPA2
MT-CO2,RAPGEF1
MT-CO2,RBMS1
MT-CO2,RBMS3
MT-CO2,RDX
MT-CO2,RGCC
MT-CO2,RHOA
MT-CO2,RHOC
MT-CO2,RIN2
MT-CO2,RIOK3
MT-CO2,RIT1
MT-CO2,RMND5A
MT-CO2,RNASE1
MT-CO2,RNF144B
MT-CO2,RNF220
MT-CO2,RPE
MT-CO2,RPL13
MT-CO2,RPL17
MT-CO2,RPL17-C18orf32
MT-CO2,RPL18A
MT-CO2,RPL19
MT-CO2,RPL21
MT-CO2,RPL23
MT-CO2,RPL28
MT-CO2,RPL29
MT-CO2,RPL30
MT-CO2,RPL34
MT-CO2,RPL35A
MT-CO2,RPL36
MT-CO2,RPL36A
MT-CO2,RPL36AL
MT-CO2,RPL38
MT-CO2,RPL39
MT-CO2,RPL5
MT-CO2,RPL7
MT-CO2,RPL9
MT-CO2,RPLP0
MT-CO2,RPRD1B
MT-CO2,RPS11
MT-CO2,RPS14
MT-CO2,RPS18
MT-CO2,RPS19
MT-CO2,RPS26
MT-CO2,RPS27
MT-CO2,RPS27A
MT-CO2,RPS6
MT-CO2,RPS8
MT-CO2,RRAS
MT-CO2,RSF1
MT-CO2,RXFP1
MT-CO2,S100A11
MT-CO2,S100A6
MT-CO2,S1PR1
MT-CO2,SAR1B
MT-CO2,SCEL
MT-CO2,SCNM1
MT-CO2,SCYGR8
MT-CO2,SELENOK
MT-CO2,SEMA3D
MT-CO2,SENP1
MT-CO2,SERINC1
MT-CO2,SET
MT-CO2,SGCB
MT-CO2,SH3TC2
MT-CO2,SI
MT-CO2,SIPA1L2
MT-CO2,SKP1
MT-CO2,SLC30A5
MT-CO2,SLC30A7
MT-CO2,SLC35A3
MT-CO2,SLC35E3
MT-CO2,SMARCA2
MT-CO2,SMC6
MT-CO2,SNF8
MT-CO2,SNRPA
MT-CO2,SNX18
MT-CO2,SON
MT-CO2,SORL1
MT-CO2,SPARCL1
MT-CO2,SPCS3
MT-CO2,SPHKAP
MT-CO2,SPTAN1
MT-CO2,SPTBN1
MT-CO2,SPTLC2
MT-CO2,SQSTM1
MT-CO2,SRP9
MT-CO2,SRRD
MT-CO2,ST8SIA5
MT-CO2,STIM1
MT-CO2,STK35
MT-CO2,STK39
MT-CO2,STMP1
MT-CO2,STXBP3
MT-CO2,STXBP5
MT-CO2,SUPV3L1
MT-CO2,SVIL
MT-CO2,SVIP
MT-CO2,SYT2
MT-CO2,SYT9
MT-CO2,TACC1
MT-CO2,TADA3
MT-CO2,TAF12
MT-CO2,TAOK3
MT-CO2,TBC1D10B
MT-CO2,TCF4
MT-CO2,TEFM
MT-CO2,TEKT4
MT-CO2,TGFBR2
MT-CO2,TGM7
MT-CO2,THBS1
MT-CO2,TIE1
MT-CO2,TIMP3
MT-CO2,TM7SF3
MT-CO2,TMED2
MT-CO2,TMEM129
MT-CO2,TMEM150C
MT-CO2,TMEM161B
MT-CO2,TMEM19
MT-CO2,TMEM220
MT-CO2,TMEM50B
MT-CO2,TMEM59
MT-CO2,TMEM71
MT-CO2,TMSB10
MT-CO2,TMSB4X
MT-CO2,TMTC1
MT-CO2,TMX3
MT-CO2,TOM1L2
MT-CO2,TOMM7
MT-CO2,TPGS2
MT-CO2,TPM1
MT-CO2,TPST2
MT-CO2,TRAK1
MT-CO2,TRAPPC8
MT-CO2,TRIM60
MT-CO2,TRPM7
MT-CO2,TTI1
MT-CO2,TVP23B
MT-CO2,TVP23C
MT-CO2,TWF1
MT-CO2,TXNIP
MT-CO2,TXNL1
MT-CO2,UBB
MT-CO2,UBE2L3
MT-CO2,UBE3B
MT-CO2,UBTF
MT-CO2,UNC80
MT-CO2,UQCRQ
MT-CO2,USB1
MT-CO2,USP54
MT-CO2,VASH2
MT-CO2,VEGFA
MT-CO2,VIM
MT-CO2,VNN1
MT-CO2,VPS13C
MT-CO2,VWF
MT-CO2,WBP11
MT-CO2,WBP2
MT-CO2,WDR1
MT-CO2,WDR70
MT-CO2,WSCD2
MT-CO2,XAF1
MT-CO2,XRCC6
MT-CO2,YWHAB
MT-CO2,YWHAZ
MT-CO2,ZBTB24
MT-CO2,ZCCHC2
MT-CO2,ZFAND1
MT-CO2,ZFP36L2
MT-CO2,ZMAT1
MT-CO2,ZMYM6
MT-CO2,ZNF117
MT-CO2,ZNF292
MT-CO2,ZNF302
MT-CO2,ZNF41
MT-CO2,ZNF583
MT-CO2,ZNF684
MT-CO2,ZPBP2
MT-CO3,PTMA
MT-CO3,RPL21
MT-CO3,TMSB4X
